met,split,value,src,trg,model
r2,0,0.0013460542762427918,CCLE,gCSI,deepttc
r2,1,-0.012137352320582773,CCLE,gCSI,deepttc
r2,2,0.01806776863286541,CCLE,gCSI,deepttc
r2,3,-0.03705482944885863,CCLE,gCSI,deepttc
r2,4,-0.04236593193635185,CCLE,gCSI,deepttc
r2,5,-0.05229118442495473,CCLE,gCSI,deepttc
r2,6,0.039366835243138776,CCLE,gCSI,deepttc
r2,7,0.05495260011237735,CCLE,gCSI,deepttc
r2,8,-0.016103960571167697,CCLE,gCSI,deepttc
r2,9,0.02624170119746627,CCLE,gCSI,deepttc
mse,0,0.011290351527471371,CTRPv2,CCLE,deepttc
mse,1,0.010856691109360227,CTRPv2,CCLE,deepttc
mse,2,0.012697344128584934,CTRPv2,CCLE,deepttc
mse,3,0.011763115100325666,CTRPv2,CCLE,deepttc
mse,4,0.011066711567391533,CTRPv2,CCLE,deepttc
mse,5,0.012400230003151592,CTRPv2,CCLE,deepttc
mse,6,0.010308050181741779,CTRPv2,CCLE,deepttc
mse,7,0.010721963086458662,CTRPv2,CCLE,deepttc
mse,8,0.011384569808803447,CTRPv2,CCLE,deepttc
mse,9,0.011066201416115138,CTRPv2,CCLE,deepttc
rmse,0,0.10625606583847988,CTRPv2,CCLE,deepttc
rmse,1,0.10419544668247374,CTRPv2,CCLE,deepttc
rmse,2,0.11268249255578673,CTRPv2,CCLE,deepttc
rmse,3,0.10845789551860974,CTRPv2,CCLE,deepttc
rmse,4,0.10519843899693347,CTRPv2,CCLE,deepttc
rmse,5,0.1113563199964492,CTRPv2,CCLE,deepttc
rmse,6,0.10152856830341783,CTRPv2,CCLE,deepttc
rmse,7,0.10354691249119242,CTRPv2,CCLE,deepttc
rmse,8,0.10669849956209997,CTRPv2,CCLE,deepttc
rmse,9,0.10519601425964359,CTRPv2,CCLE,deepttc
pcc,0,0.788670979399959,CTRPv2,CCLE,deepttc
pcc,1,0.806997790314376,CTRPv2,CCLE,deepttc
pcc,2,0.7689696488396595,CTRPv2,CCLE,deepttc
pcc,3,0.7877146307616827,CTRPv2,CCLE,deepttc
pcc,4,0.7983129272764709,CTRPv2,CCLE,deepttc
pcc,5,0.7677886738000755,CTRPv2,CCLE,deepttc
pcc,6,0.804800554209766,CTRPv2,CCLE,deepttc
pcc,7,0.8049824579368615,CTRPv2,CCLE,deepttc
pcc,8,0.7923939660432181,CTRPv2,CCLE,deepttc
pcc,9,0.8001828576893406,CTRPv2,CCLE,deepttc
scc,0,0.6713987906017749,CTRPv2,CCLE,deepttc
scc,1,0.6937753738605694,CTRPv2,CCLE,deepttc
scc,2,0.6348919513127153,CTRPv2,CCLE,deepttc
scc,3,0.6645308047763623,CTRPv2,CCLE,deepttc
scc,4,0.6754687429302023,CTRPv2,CCLE,deepttc
scc,5,0.6602193129477029,CTRPv2,CCLE,deepttc
scc,6,0.6896962642063706,CTRPv2,CCLE,deepttc
scc,7,0.687622852543003,CTRPv2,CCLE,deepttc
scc,8,0.6680314074914666,CTRPv2,CCLE,deepttc
scc,9,0.6758010221760645,CTRPv2,CCLE,deepttc
r2,0,0.5653647117096108,CTRPv2,CCLE,deepttc
r2,1,0.5820589767541715,CTRPv2,CCLE,deepttc
r2,2,0.5112008857809421,CTRPv2,CCLE,deepttc
r2,3,0.5471651249845427,CTRPv2,CCLE,deepttc
r2,4,0.5739739935628856,CTRPv2,CCLE,deepttc
r2,5,0.5226386415716859,CTRPv2,CCLE,deepttc
r2,6,0.6031795510040645,CTRPv2,CCLE,deepttc
r2,7,0.5872454895861356,CTRPv2,CCLE,deepttc
r2,8,0.5617376687633082,CTRPv2,CCLE,deepttc
r2,9,0.5739936324329905,CTRPv2,CCLE,deepttc
mse,0,0.0030623219594641737,CTRPv2,CTRPv2,deepttc
mse,1,0.0031418678225834584,CTRPv2,CTRPv2,deepttc
mse,2,0.0030554465067848045,CTRPv2,CTRPv2,deepttc
mse,3,0.0033069043743677398,CTRPv2,CTRPv2,deepttc
mse,4,0.0031315825053197057,CTRPv2,CTRPv2,deepttc
mse,5,0.00311471259985349,CTRPv2,CTRPv2,deepttc
